symbol,name,cik,industry,sector,market_cap,country,website
MKC,"McCormick & Company, Incorporated",63754,Packaged Foods,Consumer Defensive,21294321664,United States,https://www.mccormickcorporation.com
MCD,McDonald's Corporation,63908,Restaurants,Consumer Cyclical,214177038336,United States,https://www.mcdonalds.com
MCK,McKesson Corporation,927653,Medical Distribution,Healthcare,65799405568,United States,https://www.mckesson.com
MDT,Medtronic plc,1613103,Medical Devices,Healthcare,118345867264,Ireland,https://www.medtronic.com
MRK,"Merck & Co., Inc.",310158,Drug Manufacturers - General,Healthcare,269653409792,United States,https://www.merck.com
META,"Meta Platforms, Inc.",1326801,Internet Content & Information,Communication Services,1426033999872,United States,https://investor.fb.com
MET,"MetLife, Inc.",1099219,Insurance - Life,Financial Services,58918326272,United States,https://www.metlife.com
MTD,Mettler-Toledo International Inc.,1037646,Diagnostics & Research,Healthcare,28016783360,United States,https://www.mt.com
MGM,MGM Resorts International,789570,Resorts & Casinos,Consumer Cyclical,12260156416,United States,https://www.mgmresorts.com
MCHP,Microchip Technology Incorporated,827054,Semiconductors,Technology,40929968128,United States,https://www.microchip.com
MU,"Micron Technology, Inc.",723125,Semiconductors,Technology,119644135424,United States,https://www.micron.com
MSFT,Microsoft Corporation,789019,Software - Infrastructure,Technology,3183055470592,United States,https://www.microsoft.com
MAA,"Mid-America Apartment Communities, Inc.",912595,REIT - Residential,Real Estate,18756096000,United States,https://www.maac.com
MRNA,"Moderna, Inc.",1682852,Biotechnology,Healthcare,20522895360,United States,https://www.modernatx.com
MHK,"Mohawk Industries, Inc.",851968,"Furnishings, Fixtures & Appliances",Consumer Cyclical,9574866944,United States,https://www.mohawkind.com
MOH,"Molina Healthcare, Inc.",1179929,Healthcare Plans,Healthcare,18620889088,United States,https://www.molinahealthcare.com
TAP,Molson Coors Beverage Company,24545,Beverages - Brewers,Consumer Defensive,11614382080,United States,https://www.molsoncoors.com
MDLZ,"Mondelez International, Inc.",1103982,Confectioners,Consumer Defensive,94253875200,United States,https://www.mondelezinternational.com
MPWR,"Monolithic Power Systems, Inc.",1280452,Semiconductors,Technology,43939688448,United States,https://www.monolithicpower.com
MNST,Monster Beverage Corporation,865752,Beverages - Non-Alcoholic,Consumer Defensive,52460945408,United States,https://www.monsterbevcorp.com
MCO,Moody's Corporation,1059556,Financial Data & Stock Exchanges,Financial Services,84971929600,United States,https://www.moodys.com
MS,Morgan Stanley,895421,Capital Markets,Financial Services,190667505664,United States,https://www.morganstanley.com
MOS,The Mosaic Company,1285785,Agricultural Inputs,Basic Materials,8584108544,United States,https://www.mosaicco.com
MSI,"Motorola Solutions, Inc.",68505,Communication Equipment,Technology,77928202240,United States,https://www.motorolasolutions.com
MSCI,MSCI Inc.,1408198,Financial Data & Stock Exchanges,Financial Services,46875652096,United States,https://www.msci.com
NDAQ,"Nasdaq, Inc.",1120193,Financial Data & Stock Exchanges,Financial Services,42927329280,United States,https://www.nasdaq.com
NTAP,"NetApp, Inc.",1002047,Computer Hardware,Technology,24453140480,United States,https://www.netapp.com
NFLX,"Netflix, Inc.",1065280,Entertainment,Communication Services,322593980416,United States,https://www.netflix.com
NEM,Newmont Corporation,1164727,Gold,Basic Materials,66252603392,United States,https://www.newmont.com
NWSA,News Corporation,1564708,Entertainment,Communication Services,15059307520,United States,https://www.newscorp.com
NWS,News Corporation,1564708,Entertainment,Communication Services,15059314688,United States,https://www.newscorp.com
NEE,"NextEra Energy, Inc.",753308,Utilities - Regulated Electric,Utilities,174712127488,United States,https://www.nexteraenergy.com
NKE,"NIKE, Inc.",320187,Footwear & Accessories,Consumer Cyclical,119154171904,United States,https://www.nike.com
NI,NiSource Inc.,1111711,Utilities - Regulated Gas,Utilities,15836866560,United States,https://www.nisource.com
NDSN,Nordson Corporation,72331,Specialty Industrial Machinery,Industrials,14293661696,United States,https://www.nordson.com
NSC,Norfolk Southern Corporation,702165,Railroads,Industrials,58139136000,United States,https://www.norfolksouthern.com
NTRS,Northern Trust Corporation,73124,Asset Management,Financial Services,20319334400,United States,https://www.northerntrust.com
NOC,Northrop Grumman Corporation,1133421,Aerospace & Defense,Industrials,75666702336,United States,https://www.northropgrumman.com
NCLH,Norwegian Cruise Line Holdings Ltd.,1513761,Travel Services,Consumer Cyclical,10288783360,United States,https://www.nclhltd.com
NRG,"NRG Energy, Inc.",1013871,Utilities - Independent Power Producers,Utilities,18105667584,United States,https://www.nrg.com
NUE,Nucor Corporation,73309,Steel,Basic Materials,33621334016,United States,https://www.nucor.com
NVDA,NVIDIA Corporation,1045810,Semiconductors,Technology,3471975907328,United States,https://www.nvidia.com
NVR,"NVR, Inc.",906163,Residential Construction,Consumer Cyclical,28842891264,United States,https://www.nvrinc.com
NXPI,NXP Semiconductors N.V.,1413447,Semiconductors,Technology,61940875264,Netherlands,https://www.nxp.com
ORLY,"O'Reilly Automotive, Inc.",898173,Specialty Retail,Consumer Cyclical,69363277824,United States,https://www.oreillyauto.com
OXY,Occidental Petroleum Corporation,797468,Oil & Gas E&P,Energy,47993233408,United States,https://www.oxy.com
ODFL,"Old Dominion Freight Line, Inc.",878927,Trucking,Industrials,42385801216,United States,https://www.odfl.com
OMC,Omnicom Group Inc.,29989,Advertising Agencies,Communication Services,19649748992,United States,https://www.omnicomgroup.com
ON,ON Semiconductor Corporation,1097864,Semiconductors,Technology,30520365056,United States,https://www.onsemi.com
OKE,"ONEOK, Inc.",1039684,Oil & Gas Midstream,Energy,56514977792,United States,https://www.oneok.com/
ORCL,Oracle Corporation,1341439,Software - Infrastructure,Technology,480834322432,United States,https://www.oracle.com
OTIS,Otis Worldwide Corporation,1781335,Specialty Industrial Machinery,Industrials,41201074176,United States,https://www.otis.com
PCAR,PACCAR Inc,75362,Farm & Heavy Construction Machinery,Industrials,55523368960,United States,https://www.paccar.com
PKG,Packaging Corporation of America,75677,Packaging & Containers,Consumer Cyclical,20535461888,United States,https://www.packagingcorp.com
PANW,"Palo Alto Networks, Inc.",1327567,Software - Infrastructure,Technology,119312867328,United States,https://www.paloaltonetworks.com
PARA,Paramount Global,813828,Entertainment,Communication Services,7340687872,United States,https://www.paramount.com
PH,Parker-Hannifin Corporation,76334,Specialty Industrial Machinery,Industrials,81023909888,United States,https://www.phstock.com
PAYX,"Paychex, Inc.",723531,Software - Application,Technology,50900357120,United States,https://www.paychex.com
PAYC,"Paycom Software, Inc.",1590955,Software - Application,Technology,9455095808,United States,https://www.paycom.com
PYPL,"PayPal Holdings, Inc.",1633917,Credit Services,Financial Services,83524354048,United States,https://www.paypal.com
PNR,Pentair plc,77360,Specialty Industrial Machinery,Industrials,16351260672,United Kingdom,https://www.pentair.com
PEP,"PepsiCo, Inc.",77476,Beverages - Non-Alcoholic,Consumer Defensive,237284933632,United States,https://www.pepsico.com
PFE,Pfizer Inc.,78003,Drug Manufacturers - General,Healthcare,163540844544,United States,https://www.pfizer.com
PCG,PG&E Corporation,1004980,Utilities - Regulated Electric,Utilities,53820850176,United States,https://www.pgecorp.com
PM,Philip Morris International Inc.,1413329,Tobacco,Consumer Defensive,204316524544,United States,https://www.pmi.com
PSX,Phillips 66,1534701,Oil & Gas Refining & Marketing,Energy,54045700096,United States,https://www.phillips66.com
PNW,Pinnacle West Capital Corporation,764622,Utilities - Regulated Electric,Utilities,10146616320,United States,https://www.pinnaclewest.com
PNC,"The PNC Financial Services Group, Inc.",713676,Banks - Regional,Financial Services,74704101376,United States,https://www.pnc.com
POOL,Pool Corporation,945841,Industrial Distribution,Industrials,14002391040,United States,https://www.poolcorp.com
PPG,"PPG Industries, Inc.",79879,Specialty Chemicals,Basic Materials,29500784640,United States,https://www.ppg.com
PPL,PPL Corporation,922224,Utilities - Regulated Electric,Utilities,24442425344,United States,https://www.pplweb.com
PFG,"Principal Financial Group, Inc.",1126328,Asset Management,Financial Services,20745263104,United States,https://www.principal.com
PG,The Procter & Gamble Company,80424,Household & Personal Products,Consumer Defensive,399367733248,United States,https://www.pginvestor.com
PGR,The Progressive Corporation,80661,Insurance - Property & Casualty,Financial Services,144838475776,United States,https://www.progressive.com
PLD,"Prologis, Inc.",1045609,REIT - Industrial,Real Estate,111877857280,United States,https://www.prologis.com
PRU,"Prudential Financial, Inc.",1137774,Insurance - Life,Financial Services,44682149888,United States,https://www.prudential.com
PEG,Public Service Enterprise Group Incorporated,788784,Utilities - Regulated Electric,Utilities,45198168064,United States,https://investor.pseg.com/home/default.aspx
PTC,PTC Inc.,857005,Software - Application,Technology,22466445312,United States,https://www.ptc.com
PSA,Public Storage,1393311,REIT - Industrial,Real Estate,59465924608,United States,https://www.publicstorage.com
PHM,"PulteGroup, Inc.",822416,Residential Construction,Consumer Cyclical,27308691456,United States,https://www.pultegroup.com
QRVO,"Qorvo, Inc.",1604778,Semiconductors,Technology,9508900864,United States,https://www.qorvo.com
PWR,"Quanta Services, Inc.",1050915,Engineering & Construction,Industrials,45402689536,United States,https://www.quantaservices.com
QCOM,QUALCOMM Incorporated,804328,Semiconductors,Technology,189680779264,United States,https://www.qualcomm.com
DGX,Quest Diagnostics Incorporated,1022079,Diagnostics & Research,Healthcare,17537038336,United States,https://www.questdiagnostics.com
RL,Ralph Lauren Corporation,1037038,Apparel Manufacturing,Consumer Cyclical,12171702272,United States,https://www.ralphlauren.com
RJF,"Raymond James Financial, Inc.",720005,Asset Management,Financial Services,29460203520,United States,https://www.raymondjames.com
RTX,RTX Corporation,101829,Aerospace & Defense,Industrials,169318957056,United States,https://www.rtx.com
O,Realty Income Corporation,726728,REIT - Retail,Real Estate,55944519680,United States,https://www.realtyincome.com
REG,Regency Centers Corporation,910606,REIT - Retail,Real Estate,13188899840,United States,https://www.regencycenters.com
REGN,"Regeneron Pharmaceuticals, Inc.",872589,Biotechnology,Healthcare,103773282304,United States,https://www.regeneron.com
RF,Regions Financial Corporation,1281761,Banks - Regional,Financial Services,21536034816,United States,https://www.regions.com
RSG,"Republic Services, Inc.",1060391,Waste Management,Industrials,64063700992,United States,https://www.republicservices.com
RMD,ResMed Inc.,943819,Medical Instruments & Supplies,Healthcare,37590052864,United States,https://www.resmed.com
RVTY,"Revvity, Inc.",31791,Diagnostics & Research,Healthcare,14615352320,United States,https://www.revvity.com
ROK,"Rockwell Automation, Inc.",1024478,Specialty Industrial Machinery,Industrials,30620203008,United States,https://www.rockwellautomation.com
ROL,"Rollins, Inc.",84839,Personal Services,Consumer Cyclical,24094597120,United States,https://www.rollins.com
ROP,"Roper Technologies, Inc.",882835,Software - Application,Technology,58202669056,United States,https://www.ropertech.com
ROST,"Ross Stores, Inc.",745732,Apparel Retail,Consumer Cyclical,48185200640,United States,https://www.rossstores.com
RCL,Royal Caribbean Cruises Ltd.,884887,Travel Services,Consumer Cyclical,51777523712,United States,https://www.rclinvestor.com
SPGI,S&P Global Inc.,64040,Financial Data & Stock Exchanges,Financial Services,159917752320,United States,https://www.spglobal.com
CRM,"Salesforce, Inc.",1108524,Software - Application,Technology,277679767552,United States,https://www.salesforce.com
SBAC,SBA Communications Corporation,1034054,REIT - Specialty,Real Estate,26189967360,United States,https://www.sbasite.com
SLB,Schlumberger Limited,87347,Oil & Gas Equipment & Services,Energy,59494113280,United States,https://www.slb.com
STX,Seagate Technology Holdings plc,1137789,Computer Hardware,Technology,21842755584,Singapore,https://www.seagate.com
SRE,Sempra,1032208,Utilities - Diversified,Utilities,54425186304,United States,https://www.sempra.com
NOW,"ServiceNow, Inc.",1373715,Software - Application,Technology,196176510976,United States,https://www.servicenow.com
SHW,The Sherwin-Williams Company,89800,Specialty Chemicals,Basic Materials,91352350720,United States,https://www.sherwin-williams.com
SPG,"Simon Property Group, Inc.",1063761,REIT - Retail,Real Estate,65162858496,United States,https://www.simon.com
SWKS,"Skyworks Solutions, Inc.",4127,Semiconductors,Technology,15204962304,United States,https://www.skyworksinc.com
SJM,The J. M. Smucker Company,91419,Packaged Foods,Consumer Defensive,12524068864,United States,https://www.jmsmucker.com
SNA,Snap-on Incorporated,91440,Tools & Accessories,Industrials,17205114880,United States,https://www.snapon.com
SOLV,Solventum Corporation,1964738,Health Information Services,Healthcare,12640718848,United States,https://www.solventum.com
SO,The Southern Company,92122,Utilities - Regulated Electric,Utilities,103053524992,United States,https://www.southerncompany.com
LUV,Southwest Airlines Co.,92380,Airlines,Industrials,18412085248,United States,https://www.southwest.com
SWK,"Stanley Black & Decker, Inc.",93556,Tools & Accessories,Industrials,15902454784,United States,https://www.stanleyblackanddecker.com
SBUX,Starbucks Corporation,829224,Restaurants,Consumer Cyclical,110657028096,United States,https://www.starbucks.com
STT,State Street Corporation,93751,Asset Management,Financial Services,26897899520,United States,https://www.statestreet.com
STLD,"Steel Dynamics, Inc.",1022671,Steel,Basic Materials,19994583040,United States,https://www.steeldynamics.com
STE,STERIS plc,1757898,Medical Devices,Healthcare,22101975040,United States,https://www.steris.com
SYK,Stryker Corporation,310764,Medical Devices,Healthcare,138421862400,United States,https://www.stryker.com
SMCI,"Super Micro Computer, Inc.",1375365,Computer Hardware,Technology,27679657984,United States,https://www.supermicro.com
SYF,Synchrony Financial,1601712,Credit Services,Financial Services,21472321536,United States,https://www.synchrony.com
SNPS,"Synopsys, Inc.",883241,Software - Infrastructure,Technology,77049708544,United States,https://www.synopsys.com
SYY,Sysco Corporation,96021,Food Distribution,Consumer Defensive,36661067776,United States,https://www.sysco.com
TMUS,"T-Mobile US, Inc.",1283699,Telecom Services,Communication Services,262688505856,United States,https://www.t-mobile.com
TROW,"T. Rowe Price Group, Inc.",1113169,Asset Management,Financial Services,24781836288,United States,https://www.troweprice.com
TTWO,"Take-Two Interactive Software, Inc.",946581,Electronic Gaming & Multimedia,Communication Services,28359036928,United States,https://www.take2games.com
TPR,"Tapestry, Inc.",1116132,Luxury Goods,Consumer Cyclical,11753112576,United States,https://www.tapestry.com
TRGP,Targa Resources Corp.,1389170,Oil & Gas Midstream,Energy,36358516736,United States,https://www.targaresources.com
TGT,Target Corporation,27419,Discount Stores,Consumer Defensive,69635637248,United States,https://corporate.target.com
TEL,TE Connectivity plc,1385157,Electronic Components,Technology,45323444224,Switzerland,https://www.te.com
TDY,Teledyne Technologies Incorporated,1094285,Scientific & Technical Instruments,Technology,21992812544,United States,https://www.teledyne.com
TFX,Teleflex Incorporated,96943,Medical Instruments & Supplies,Healthcare,11205479424,United States,https://www.teleflex.com
TER,"Teradyne, Inc.",97210,Semiconductor Equipment & Materials,Technology,20303970304,United States,https://www.teradyne.com
TSLA,"Tesla, Inc.",1318605,Auto Manufacturers,Consumer Cyclical,864116080640,United States,https://www.tesla.com
TXN,Texas Instruments Incorporated,97476,Semiconductors,Technology,188765061120,United States,https://www.ti.com
TXT,Textron Inc.,217346,Aerospace & Defense,Industrials,16276148224,United States,https://www.textron.com
TMO,Thermo Fisher Scientific Inc.,97745,Diagnostics & Research,Healthcare,220216377344,United States,https://www.thermofisher.com
TJX,"The TJX Companies, Inc.",109198,Apparel Retail,Consumer Cyclical,128826032128,United States,https://www.tjx.com
TSCO,Tractor Supply Company,916365,Specialty Retail,Consumer Cyclical,31507388416,United States,https://www.tractorsupply.com
TT,Trane Technologies plc,1466258,Building Products & Equipment,Industrials,89326952448,Ireland,https://www.tranetechnologies.com
TDG,TransDigm Group Incorporated,1260221,Aerospace & Defense,Industrials,76176261120,United States,https://www.transdigm.com
TRV,"The Travelers Companies, Inc.",86312,Insurance - Property & Casualty,Financial Services,58423365632,United States,https://www.travelers.com
TRMB,Trimble Inc.,864749,Scientific & Technical Instruments,Technology,14872267776,United States,https://www.trimble.com
TFC,Truist Financial Corporation,92230,Banks - Regional,Financial Services,57667305472,United States,https://www.truist.com
TYL,"Tyler Technologies, Inc.",860731,Software - Application,Technology,25929959424,United States,https://www.tylertech.com
TSN,"Tyson Foods, Inc.",100493,Farm Products,Consumer Defensive,20951232512,United States,https://www.tysonfoods.com
USB,U.S. Bancorp,36104,Banks - Regional,Financial Services,75731869696,United States,https://www.usbank.com
UBER,"Uber Technologies, Inc.",1543151,Software - Application,Technology,167718207488,United States,https://www.uber.com
UDR,"UDR, Inc.",74208,REIT - Residential,Real Estate,16798612480,United States,https://www.udr.com
ULTA,"Ulta Beauty, Inc.",1403568,Specialty Retail,Consumer Cyclical,17587916800,United States,https://www.ulta.com
UNP,Union Pacific Corporation,100885,Railroads,Industrials,147029737472,United States,https://www.up.com
UAL,"United Airlines Holdings, Inc.",100517,Airlines,Industrials,24544167936,United States,https://www.united.com
UPS,"United Parcel Service, Inc.",1090727,Integrated Freight & Logistics,Industrials,112562864128,United States,https://www.ups.com
URI,"United Rentals, Inc.",1067701,Rental & Leasing Services,Industrials,54740885504,United States,https://www.unitedrentals.com
UNH,UnitedHealth Group Incorporated,731766,Healthcare Plans,Healthcare,521398812672,United States,https://www.unitedhealthgroup.com
UHS,"Universal Health Services, Inc.",352915,Medical Care Facilities,Healthcare,15621563392,United States,https://www.uhs.com
VLO,Valero Energy Corporation,1035002,Oil & Gas Refining & Marketing,Energy,42575339520,United States,https://www.valero.com
VTR,"Ventas, Inc.",740260,REIT - Healthcare Facilities,Real Estate,27314948096,United States,https://www.ventasreit.com
VLTO,Veralto Corporation,1967680,Pollution & Treatment Controls,Industrials,27411556352,United States,https://www.veralto.com
VRSN,"VeriSign, Inc.",1014473,Software - Infrastructure,Technology,18129262592,United States,https://www.verisign.com
VRSK,"Verisk Analytics, Inc.",1442145,Consulting Services,Industrials,37968805888,United States,https://www.verisk.com
VZ,Verizon Communications Inc.,732712,Telecom Services,Communication Services,180420116480,United States,https://www.verizon.com
VRTX,Vertex Pharmaceuticals Incorporated,875320,Biotechnology,Healthcare,123295326208,United States,https://www.vrtx.com
VTRS,Viatris Inc.,1792044,Drug Manufacturers - Specialty & Generic,Healthcare,13785198592,United States,https://www.viatris.com
VICI,VICI Properties Inc.,1705696,REIT - Diversified,Real Estate,34389049344,United States,https://www.viciproperties.com
V,Visa Inc.,1403161,Credit Services,Financial Services,552162689024,United States,https://www.visa.com
VST,Vistra Corp.,1692819,Utilities - Independent Power Producers,Utilities,43326533632,United States,https://vistracorp.com
VMC,Vulcan Materials Company,1396009,Building Materials,Basic Materials,33878673408,United States,https://www.vulcanmaterials.com
WRB,W. R. Berkley Corporation,11544,Insurance - Property & Casualty,Financial Services,22539792384,United States,https://www.berkley.com
GWW,"W.W. Grainger, Inc.",277135,Industrial Distribution,Industrials,53343580160,United States,https://www.grainger.com
WAB,Westinghouse Air Brake Technologies Corporation,943452,Railroads,Industrials,32445956096,United States,https://www.wabteccorp.com
WBA,"Walgreens Boots Alliance, Inc.",1618921,Pharmaceutical Retailers,Healthcare,8084174336,United States,https://www.walgreensbootsalliance.com
WMT,Walmart Inc.,104169,Discount Stores,Consumer Defensive,669345054720,United States,https://corporate.walmart.com
DIS,The Walt Disney Company,1744489,Entertainment,Communication Services,174539685888,United States,https://www.thewaltdisneycompany.com
WBD,"Warner Bros. Discovery, Inc.",1437107,Entertainment,Communication Services,18634514432,United States,https://ir.wbd.com
WM,"Waste Management, Inc.",823768,Waste Management,Industrials,84998520832,United States,https://www.wm.com
WAT,Waters Corporation,1000697,Diagnostics & Research,Healthcare,19784144896,United States,https://www.waters.com
WEC,"WEC Energy Group, Inc.",783325,Utilities - Regulated Electric,Utilities,31459430400,United States,https://www.wecenergygroup.com
WFC,Wells Fargo & Company,72971,Banks - Diversified,Financial Services,219747221504,United States,https://www.wellsfargo.com
WELL,Welltower Inc.,766704,REIT - Healthcare Facilities,Real Estate,81499209728,United States,https://www.welltower.com
WST,"West Pharmaceutical Services, Inc.",105770,Medical Instruments & Supplies,Healthcare,22300305408,United States,https://www.westpharma.com
WDC,Western Digital Corporation,106040,Computer Hardware,Technology,24007057408,United States,https://www.westerndigital.com
WRK,WRK,1732845,N/A,N/A,N/A,N/A,N/A
WY,Weyerhaeuser Company,106535,REIT - Specialty,Real Estate,23164995584,United States,https://www.weyerhaeuser.com
WMB,"The Williams Companies, Inc.",107263,Oil & Gas Midstream,Energy,63993827328,United States,https://www.williams.com
WTW,Willis Towers Watson Public Limited Company,1140536,Insurance Brokers,Financial Services,29646233600,United Kingdom,https://www.wtwco.com
WYNN,"Wynn Resorts, Limited",1174922,Resorts & Casinos,Consumer Cyclical,10876105728,United States,https://www.wynnresorts.com
XEL,Xcel Energy Inc.,72903,Utilities - Regulated Electric,Utilities,35936514048,United States,https://www.xcelenergy.com
XYL,Xylem Inc.,1524472,Specialty Industrial Machinery,Industrials,31993851904,United States,https://www.xylem.com
YUM,"Yum! Brands, Inc.",1041061,Restaurants,Consumer Cyclical,37681717248,United States,https://www.yum.com
ZBRA,Zebra Technologies Corporation,877212,Communication Equipment,Technology,18986213376,United States,https://www.zebra.com
ZBH,"Zimmer Biomet Holdings, Inc.",1136869,Medical Devices,Healthcare,21322371072,United States,https://www.zimmerbiomet.com
ZTS,Zoetis Inc.,1555280,Drug Manufacturers - Specialty & Generic,Healthcare,85622112256,United States,https://www.zoetis.com
